==== START logs for container kube-controller-manager of pod kube-system/kube-controller-manager-k8s-master3 ====
I1102 08:18:10.026011       1 controllermanager.go:109] Version: v1.8.1
I1102 08:18:10.029486       1 leaderelection.go:174] attempting to acquire leader lease...
E1102 08:18:10.030069       1 leaderelection.go:224] error retrieving resource lock kube-system/kube-controller-manager: Get https://192.168.141.153:6443/api/v1/namespaces/kube-system/endpoints/kube-controller-manager: dial tcp 192.168.141.153:6443: getsockopt: connection refused
E1102 08:18:13.482176       1 leaderelection.go:224] error retrieving resource lock kube-system/kube-controller-manager: Get https://192.168.141.153:6443/api/v1/namespaces/kube-system/endpoints/kube-controller-manager: dial tcp 192.168.141.153:6443: getsockopt: connection refused
E1102 09:12:58.642087       1 leaderelection.go:258] Failed to update lock: etcdserver: request timed out
I1102 09:13:03.630426       1 leaderelection.go:184] successfully acquired lease kube-system/kube-controller-manager
W1102 09:13:03.684017       1 controllermanager.go:138] --use-service-account-credentials was specified without providing a --service-account-private-key-file
I1102 09:13:03.687463       1 event.go:218] Event(v1.ObjectReference{Kind:"Endpoints", Namespace:"kube-system", Name:"kube-controller-manager", UID:"25e01d7f-bf79-11e7-bb72-005056855b98", APIVersion:"v1", ResourceVersion:"30865", FieldPath:""}): type: 'Normal' reason: 'LeaderElection' k8s-master3 became leader
I1102 09:13:04.837197       1 plugins.go:101] No cloud provider specified.
I1102 09:13:04.891371       1 controller_utils.go:1041] Waiting for caches to sync for tokens controller
I1102 09:13:05.151475       1 controller_utils.go:1048] Caches are synced for tokens controller
I1102 09:13:05.322696       1 controllermanager.go:487] Started "csrapproving"
I1102 09:13:05.322835       1 certificate_controller.go:109] Starting certificate controller
I1102 09:13:05.322856       1 controller_utils.go:1041] Waiting for caches to sync for certificate controller
I1102 09:13:05.380958       1 controllermanager.go:487] Started "resourcequota"
I1102 09:13:05.381141       1 resource_quota_controller.go:238] Starting resource quota controller
I1102 09:13:05.381165       1 controller_utils.go:1041] Waiting for caches to sync for resource quota controller
I1102 09:13:05.436680       1 controllermanager.go:487] Started "deployment"
