==== START logs for container kubedns of pod kube-system/kube-dns-545bc4bfd4-qdscf ====
I1103 03:52:03.073535       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:03.573540       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:04.073530       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:04.573535       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:05.073547       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:05.573518       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:06.073573       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:06.573584       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:07.073559       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:07.573545       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:08.073524       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:08.573535       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:09.073706       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:09.573582       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:10.073519       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:10.573516       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
E1103 03:52:10.573903       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Endpoints: Get https://10.96.0.1:443/api/v1/endpoints?resourceVersion=0: dial tcp 10.96.0.1:443: i/o timeout
E1103 03:52:10.574084       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Service: Get https://10.96.0.1:443/api/v1/services?resourceVersion=0: dial tcp 10.96.0.1:443: i/o timeout
I1103 03:52:11.073564       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:11.573561       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:12.073623       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:12.573533       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:13.073544       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:13.573581       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:14.073530       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:14.573529       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:15.073537       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:15.573487       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:16.073553       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:16.573592       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:17.073596       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:17.573553       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:18.073544       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:18.573569       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:19.073533       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:19.573552       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:20.073526       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:20.573561       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:21.073562       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:21.573607       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:22.073589       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:22.573572       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:23.074154       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:23.573541       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:52:24.073617       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
